X_point_0,Y_point_0,X_point_1,Y_point_1,X_point_2,Y_point_2,X_point_3,Y_point_3,X_point_4,Y_point_4,X_point_5,Y_point_5,X_point_6,Y_point_6,X_point_7,Y_point_7,X_point_8,Y_point_8,X_point_9,Y_point_9,X_point_10,Y_point_10,X_point_11,Y_point_11,X_point_12,Y_point_12,X_point_13,Y_point_13,X_point_14,Y_point_14,X_point_15,Y_point_15,X_point_16,Y_point_16,X_point_17,Y_point_17,X_point_18,Y_point_18,X_point_19,Y_point_19,X_point_20,Y_point_20,Tipo
1428,503,1510,706,1462,582,1404,435,1608,466,1610,697,1616,554,1600,386,1851,592,1779,766,1827,662,1867,528,1746,497,1700,719,1734,584,1751,418,1466,946,1317,765,1382,851,1231,699,1590,1002,0
1438,503,1511,705,1469,582,1417,434,1620,465,1614,696,1624,550,1615,387,1861,592,1782,761,1833,659,1881,529,1757,499,1703,715,1741,582,1765,423,1473,951,1323,767,1385,857,1241,695,1601,1008,0
1390,463,1473,673,1422,543,1367,391,1576,424,1579,663,1580,513,1572,344,1833,565,1751,732,1804,631,1851,502,1728,462,1672,684,1710,548,1737,384,1432,924,1276,729,1338,823,1191,656,1570,982,0
1321,299,1417,517,1358,381,1293,225,1512,259,1533,505,1522,353,1500,175,1791,401,1724,575,1770,470,1797,340,1674,298,1634,527,1662,387,1673,221,1384,788,1212,575,1276,678,1125,496,1548,852,0
1224,161,1338,388,1266,246,1192,85,1411,119,1452,375,1431,215,1392,39,1707,272,1650,445,1691,339,1711,209,1576,166,1555,396,1572,254,1571,90,1323,672,1137,452,1207,558,1052,376,1488,743,0
1171,177,1288,404,1215,263,1137,103,1354,131,1401,387,1376,226,1333,49,1652,280,1601,454,1638,346,1657,218,1522,173,1504,406,1518,261,1518,94,1276,687,1082,478,1158,580,999,399,1436,753,0
957,203,1077,420,1002,287,921,133,1122,149,1190,403,1150,246,1098,68,1460,286,1406,469,1443,358,1467,218,1312,180,1299,421,1309,272,1308,100,1074,705,873,498,954,594,779,433,1242,774,0
525,230,655,431,575,307,484,163,699,173,760,411,721,260,680,95,1025,283,971,466,1008,356,1033,214,885,197,865,424,879,281,884,121,689,711,503,506,572,603,421,440,861,782,0
287,253,405,436,331,319,251,197,418,181,493,417,449,268,389,105,725,287,670,463,709,357,730,218,594,194,581,427,590,283,588,115,455,696,272,514,339,598,209,456,623,759,0
193,275,326,457,244,341,152,219,316,204,408,437,354,289,283,132,627,314,584,489,616,383,627,245,485,216,494,449,491,305,469,138,389,713,202,545,273,623,147,486,544,766,0
221,301,360,485,275,368,177,243,343,231,443,466,385,318,305,157,669,339,621,518,656,411,670,268,519,239,530,478,528,331,501,159,418,742,229,570,301,651,170,508,577,796,0
281,480,444,671,346,549,225,418,401,413,527,650,455,499,353,334,760,525,717,708,750,599,761,448,594,425,618,664,608,514,573,340,513,930,305,747,386,833,224,680,681,975,0
311,557,481,756,380,627,249,492,455,504,569,744,506,591,410,423,804,626,762,810,793,703,805,548,632,525,664,764,652,615,608,438,538,989,337,806,417,891,252,735,702,1037,0
404,540,573,742,471,614,345,473,568,484,669,729,612,575,531,403,932,608,880,798,921,686,933,532,741,502,773,749,763,596,715,417,609,985,420,798,495,884,334,729,774,1038,0
646,546,815,754,714,627,588,473,822,490,923,734,869,584,778,405,1196,607,1139,795,1183,684,1196,534,1019,511,1032,750,1036,604,994,425,849,1016,625,834,717,923,537,757,1016,1061,0
1033,517,1174,741,1093,601,984,442,1229,465,1288,723,1259,563,1202,376,1562,588,1499,783,1543,666,1570,515,1411,488,1398,738,1414,586,1401,399,1175,1004,963,803,1050,902,867,727,1343,1052,0
1196,503,1315,723,1245,588,1157,426,1394,453,1427,709,1417,549,1372,363,1699,576,1624,770,1676,655,1711,502,1563,480,1531,725,1561,576,1556,390,1287,980,1103,784,1177,881,1008,707,1453,1031,0
1173,483,1290,697,1222,565,1136,410,1369,425,1402,681,1388,522,1349,335,1688,554,1599,742,1656,630,1705,484,1544,453,1505,697,1536,548,1540,367,1265,953,1063,752,1146,850,976,678,1430,1010,0
1081,530,1201,688,1136,587,1028,485,1266,394,1315,659,1295,503,1235,297,1598,518,1513,707,1568,594,1610,446,1457,415,1419,667,1447,518,1451,323,1175,917,977,718,1053,817,902,640,1348,967,0
1009,484,1149,677,1068,558,961,414,1217,390,1263,653,1242,491,1194,296,1551,524,1473,709,1524,599,1566,454,1394,412,1371,665,1393,512,1386,321,1154,924,946,723,1026,823,856,647,1337,974,0
961,479,1111,678,1023,554,911,408,1172,393,1226,655,1200,492,1147,301,1515,526,1441,713,1491,602,1526,454,1355,414,1336,669,1356,514,1345,323,1123,931,913,730,995,829,819,655,1309,984,0
873,496,1040,694,940,570,816,428,1090,411,1154,672,1119,510,1061,322,1447,541,1370,729,1423,617,1456,470,1281,430,1265,685,1283,529,1266,339,1066,944,844,753,933,846,747,680,1250,997,0
664,482,849,665,740,548,596,423,878,391,959,641,913,486,847,305,1241,519,1171,700,1219,594,1248,444,1072,413,1068,654,1077,508,1057,324,891,918,675,725,756,819,580,656,1081,963,0
456,473,651,656,536,539,385,411,653,386,751,633,698,479,613,302,1008,512,959,695,998,587,1006,438,834,401,855,648,855,496,807,311,715,906,518,718,591,809,427,646,904,946,0
406,471,600,651,485,536,335,409,587,388,699,630,638,478,540,304,936,509,906,692,934,586,928,431,768,404,802,646,794,497,737,314,670,895,470,714,544,801,381,644,854,934,0
391,458,587,638,470,524,322,397,567,377,682,616,619,466,521,296,914,492,890,676,915,570,905,416,745,389,784,631,772,483,714,302,656,883,464,699,536,787,370,635,830,922,0
388,369,579,550,462,436,326,309,559,288,676,524,607,376,519,211,912,393,884,573,908,466,905,324,741,296,778,534,764,387,712,216,660,803,456,621,533,708,360,562,838,841,0
387,303,565,487,456,373,329,242,554,217,665,459,600,307,513,142,903,315,875,502,898,390,895,244,726,228,768,466,750,317,695,152,650,750,444,562,519,652,361,499,830,790,0
405,293,576,478,470,364,351,232,571,211,678,451,616,300,530,135,914,306,887,495,910,382,906,233,742,220,781,458,764,309,712,141,661,741,460,553,532,645,378,492,839,785,0
449,297,627,484,518,366,394,235,613,217,727,457,660,306,573,141,963,312,938,499,958,387,958,241,787,225,831,464,809,315,761,145,705,744,502,554,576,646,419,489,884,793,0
673,296,855,494,744,370,619,230,861,223,967,466,903,311,828,142,1222,327,1194,514,1216,400,1218,254,1047,236,1079,474,1065,325,1027,153,916,772,692,581,776,679,605,501,1096,822,0
1018,266,1168,479,1076,347,972,195,1198,198,1280,458,1233,297,1166,111,1546,323,1498,512,1535,398,1544,255,1386,218,1391,470,1394,316,1368,133,1184,741,974,543,1058,636,882,474,1361,804,0
1184,241,1303,461,1229,324,1148,169,1378,182,1418,443,1399,280,1356,99,1698,325,1617,507,1672,397,1711,257,1545,217,1521,460,1542,310,1539,137,1297,734,1110,526,1182,627,1020,452,1462,797,0
1127,312,1246,514,1175,391,1095,238,1353,506,1366,511,1371,391,1337,580,1571,579,1586,585,1622,513,1530,622,1472,550,1482,535,1506,445,1447,609,1275,788,1063,576,1152,678,980,510,1437,842,0
1014,438,1167,617,1073,504,971,367,1232,704,1296,609,1227,585,1270,736,1413,743,1517,672,1466,669,1415,764,1329,732,1417,630,1354,628,1351,751,1188,887,974,691,1058,787,890,620,1355,942,0
941,446,1095,616,1003,513,893,379,1164,748,1226,595,1155,632,1201,763,1366,785,1451,658,1408,717,1365,791,1269,772,1349,615,1289,679,1286,774,1120,890,900,690,985,788,814,625,1283,936,0
733,486,915,652,810,549,666,425,951,804,1049,631,942,694,999,821,1184,834,1275,704,1216,771,1199,834,1073,822,1172,655,1083,736,1105,822,950,920,720,739,805,825,640,679,1122,962,0
475,512,693,672,570,572,401,460,704,830,817,643,667,719,777,838,930,851,1034,708,934,792,979,839,822,844,932,663,801,760,884,837,784,933,534,746,622,836,458,682,974,966,0
435,538,659,692,534,594,360,491,674,847,781,660,637,735,744,855,903,873,1005,720,908,813,948,856,795,867,899,677,776,784,854,857,761,957,501,772,596,861,425,711,941,980,0
592,703,690,664,612,664,585,711,707,809,808,645,686,708,747,828,911,848,1022,706,921,788,940,850,810,838,917,664,796,758,849,843,739,915,525,745,611,825,442,697,860,931,0
450,380,662,525,541,442,375,330,668,688,787,503,650,569,716,732,910,708,1025,572,926,642,938,723,792,704,909,524,784,613,833,727,745,797,514,621,602,700,433,568,923,850,0
461,309,666,473,545,372,395,251,676,602,789,448,642,483,743,620,898,634,1014,505,910,563,939,634,793,625,907,465,776,530,851,628,740,748,512,566,598,651,429,511,925,792,0
462,329,670,485,548,389,394,270,675,624,793,462,648,505,735,648,902,652,1018,524,912,583,945,653,792,645,910,481,779,550,846,650,745,757,537,572,610,660,471,505,928,807,0
624,332,818,513,702,402,559,268,854,654,950,488,828,534,912,670,1098,667,1192,548,1114,599,1130,664,984,664,1077,506,976,570,1031,664,890,792,657,599,740,692,576,535,1062,833,0
901,541,1086,634,977,581,836,509,1042,365,1162,585,1095,453,996,289,1241,563,1299,553,1236,509,1263,608,1169,554,1235,560,1161,485,1183,606,1157,729,972,573,1039,648,910,516,1272,725,0
1244,251,1364,468,1287,332,1214,171,1480,584,1485,458,1479,467,1491,580,1665,599,1693,500,1702,527,1653,602,1569,599,1596,474,1601,499,1567,600,1397,737,1168,530,1270,628,1053,482,1538,784,0
1265,250,1375,468,1305,332,1235,170,1509,589,1497,456,1513,470,1507,586,1693,605,1707,499,1737,534,1671,610,1601,608,1610,472,1636,508,1589,609,1409,735,1187,529,1283,626,1071,479,1553,784,0
1262,321,1369,535,1304,402,1232,243,1507,640,1486,523,1511,526,1500,656,1691,649,1695,565,1726,579,1669,664,1598,656,1598,538,1628,558,1583,670,1400,797,1184,593,1277,691,1071,535,1548,846,0
1196,527,1309,691,1242,592,1161,458,1424,831,1436,665,1438,730,1419,837,1615,848,1650,721,1663,790,1586,851,1524,852,1553,683,1559,772,1509,852,1329,941,1114,761,1200,849,1027,701,1480,975,0
1186,561,1307,721,1236,625,1149,492,1422,862,1433,695,1439,764,1415,869,1616,876,1648,751,1665,821,1590,877,1527,880,1551,712,1564,803,1512,882,1330,962,1102,784,1195,873,1009,726,1481,1001,0
1038,570,1181,718,1098,630,985,508,1267,879,1318,695,1274,777,1277,889,1488,912,1547,768,1533,855,1466,912,1384,904,1443,721,1409,828,1383,900,1202,978,988,799,1074,883,896,746,1353,1024,0
744,594,939,741,829,652,669,543,987,909,1080,713,976,806,1025,939,1235,924,1323,789,1257,872,1246,929,1117,928,1210,738,1119,853,1145,934,1007,1002,764,836,857,916,662,782,1174,1030,0
478,590,702,743,577,651,399,540,737,915,841,710,710,814,800,928,965,934,1080,781,980,882,1000,926,856,926,969,731,847,855,908,922,793,998,549,818,638,906,469,759,966,1022,0
390,594,631,740,496,651,308,547,653,910,761,709,612,810,728,911,870,929,990,780,885,875,907,918,764,922,884,730,747,849,823,911,737,996,485,819,577,905,402,761,914,1022,0
575,839,670,669,565,749,594,860,688,858,778,656,649,767,749,850,878,877,982,725,879,822,910,865,785,870,882,681,759,801,840,852,735,950,497,782,587,863,414,727,906,970,0
572,719,657,563,553,630,617,750,667,746,769,552,628,643,719,752,844,747,969,621,851,686,875,740,753,758,872,578,732,673,798,756,708,854,459,693,555,767,379,637,851,865,0
396,328,604,484,479,389,330,272,624,615,720,454,587,498,682,642,843,640,944,498,846,569,880,646,737,636,835,465,715,543,787,646,702,748,471,580,560,660,386,530,884,786,0
393,331,604,485,476,391,327,276,623,617,719,453,581,504,686,635,842,645,937,499,845,577,880,642,736,639,832,464,712,549,788,639,704,751,468,586,557,665,386,537,886,785,0
385,326,596,478,469,386,320,272,613,610,711,447,572,497,676,631,826,636,928,495,828,568,863,637,724,631,824,459,699,540,776,635,693,744,460,581,548,658,379,530,875,780,0
512,312,713,480,595,377,444,256,756,609,841,454,715,494,821,617,984,627,1080,507,990,558,1024,621,875,621,966,470,854,531,929,616,798,750,565,569,650,651,491,524,971,787,0
954,354,1039,508,999,419,919,298,1043,545,1109,487,1033,465,1070,580,1170,537,1231,483,1155,478,1207,568,1102,548,1170,481,1089,472,1133,583,1053,694,815,544,908,615,733,501,1196,679,0
1239,240,1365,459,1285,323,1205,164,1478,563,1484,444,1474,456,1493,592,1657,584,1698,493,1692,517,1642,601,1565,583,1598,461,1589,493,1562,603,1388,725,1154,514,1259,611,1039,470,1535,771,0
1219,290,1335,505,1262,371,1186,211,1469,625,1451,482,1466,506,1467,632,1658,631,1663,516,1692,560,1637,640,1565,638,1564,491,1591,540,1553,642,1383,768,1151,573,1251,670,1039,514,1535,810,0
1099,311,1237,519,1152,392,1061,239,1360,596,1363,505,1381,468,1336,670,1555,666,1585,559,1614,582,1498,704,1459,655,1484,522,1503,543,1418,705,1288,794,1042,589,1148,686,931,541,1441,834,0
1033,313,1205,526,1104,394,971,240,1217,284,1319,503,1267,364,1171,207,1611,373,1536,551,1590,445,1621,303,1457,283,1432,513,1456,375,1448,199,1238,782,1001,607,1100,690,895,550,1416,819,0
1002,315,1186,524,1073,394,944,243,1191,256,1297,496,1238,345,1149,175,1594,352,1523,538,1572,425,1602,283,1408,256,1411,501,1416,352,1392,171,1227,785,986,606,1087,693,886,545,1409,832,0
943,320,1134,524,1018,395,881,252,1127,255,1246,494,1179,345,1085,174,1568,352,1473,536,1533,426,1592,284,1360,253,1361,499,1366,350,1349,169,1177,785,933,607,1031,695,838,544,1364,828,0
672,328,876,517,755,398,599,262,836,262,985,484,898,346,785,186,1288,331,1220,520,1265,408,1299,257,1057,248,1102,487,1082,343,1028,162,942,777,713,615,804,697,615,553,1130,805,0
386,343,587,506,467,403,317,288,500,270,676,471,571,344,439,203,920,306,896,490,914,380,919,236,693,241,780,467,733,327,651,163,709,757,486,601,571,678,404,547,896,784,0
262,359,456,513,336,416,199,309,355,283,539,476,432,354,286,221,739,312,747,484,748,379,721,248,525,257,636,467,574,336,477,186,594,751,375,609,457,681,302,555,766,767,0
262,365,455,515,337,421,197,316,351,287,536,477,431,354,280,227,729,311,742,488,741,380,709,245,532,254,633,469,577,334,486,183,596,753,383,609,464,683,304,553,766,768,0
343,347,544,502,422,405,276,294,447,271,631,464,525,344,377,206,862,314,844,487,860,382,852,245,675,237,732,461,701,324,642,160,674,745,450,595,536,669,372,538,845,771,0
528,291,728,466,607,356,461,231,679,220,833,429,740,298,626,150,1129,283,1067,465,1105,356,1141,212,947,203,947,431,948,292,935,124,833,722,612,552,697,635,522,496,1012,757,0
880,233,1076,425,957,306,818,168,1063,172,1188,393,1113,255,1023,98,1524,278,1418,441,1481,344,1554,210,1348,175,1305,400,1331,265,1354,93,1147,674,913,502,1013,585,808,446,1312,720,0
1169,193,1325,401,1232,271,1118,124,1358,144,1438,378,1395,231,1327,65,1779,288,1643,441,1727,348,1816,228,1630,169,1547,394,1601,257,1645,87,1339,665,1123,474,1215,567,1017,416,1503,712,0
